groupname,State,pattern
alabamians,Alabama,(Alabama|alabama)
alaskans,Alaska,(Alaska|alaska)
arizonians,Arizona,(Arizona|arizona)
arkansasians,Arkansas,(Arkansas|arkansas)
californians,California,(California|california)
coloradans,Colorado,(Colorado|colorado)
connecticutians,Connecticut,(Connecticut|connecticut)
delewarians,Delaware,(Delaware|delaware)
floridians,Florida,(Florida|florida)
georgians,Georgia,(Georgia|georgia)
hawaiians,Hawaii,(Hawaii|hawaii)
idahoans,Idaho,(Idaho|idaho)
illini,Illinois,(Illinois|illinois)
hoosiers,Indiana,(Indiana|indiana)
iowans,Iowa,(Iowa|iowa)
kansians,Kansas,(Kansas|kansas)
kentuckians,Kentucky,(Kentucky|kentucky)
louisianans,Louisiana,(Louisiana|louisiana)
mainians,Maine,(Maine|maine)
marylanders,Maryland,(Maryland|maryland)
massachusettians,Massachusetts,(Massachusetts|massachusetts)
michiganders,Michigan,(Michigan|michigan)
minnesotians,Minnesota,(Minnesota|minnesota)
mississippians,Mississippi,(Mississippi|mississippi)
missourians,Missouri,(Missouri|missouri)
montanians,Montana,(Montana|montana)
nebraskans,Nebraska,(Nebraska|nebraska)
nevadians,Nevada,(Nevada|nevada)
newhampshians,New Hampshire,(New Hampshire|new hampshire)
newjersians,New Jersey,(New Jersey|new jersey)
newmexicans,New Mexico,(New Mexico|new mexico)
newyorkians,New York,(New York|new york)
northcarolinians,North Carolina,(North Carolina|north carolina)
northdakotans,North Dakota,(North Dakota|north dakota)
ohians,Ohio,(Ohio|ohio)
oklahomans,Oklahoma,(Oklahoma|oklahoma)
oregonders,Oregon,(Oregon|oregon)
pennsylvanians,Pennsylvania,(Pennsylvania|pennsylvania)
rhodeislanders,Rhode Island,(Rhode Island|rhode island)
southcarolinians,South Carolina,(South Carolina|south carolina)
southdakotans,South Dakota,(South Dakota|south dakota)
tennessians,Tennessee,(Tennessee|tennessee)
texans,Texas,(Texas|texas)
utans,Utah,(Utah|utah)
vermonters,Vermont,(Vermont|vermont)
virginians,Virginia,(Virginia|virginia)
washingtoners,Washington,(Washington|washington)
westvirginians,West Virginia,(West Virginia|west virginia)
wisconsiners,Wisconsin,(Wisconsin|wisconsin)
wyomingers,Wyoming,(Wyoming|wyoming)
